,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
2162,Delhi Crime,delhi crime,Yes,3/22/19,4100000,362.0,700000,2019,SHOW,"['drama', 'crime']",['IN'],8.5,19158.0,11.392,8.2,"As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",TV-MA,35,2.0
2165,Unbreakable Kimmy Schmidt (2015),unbreakable kimmy schmidt,Yes,3/6/15,4000000,335.0,700000,2015,SHOW,"['comedy', 'drama']",['US'],7.6,71266.0,25.634,7.2,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",TV-14,30,4.0
2167,Hollywood,hollywood,Yes,5/1/20,3900000,358.0,700000,2020,SHOW,"['drama', 'history']",['US'],7.5,36052.0,11.855,7.6,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big — no matter the cost.,TV-MA,50,1.0
2169,Space Force,space force,Yes,5/29/20,3900000,329.0,700000,2020,SHOW,['comedy'],['US'],6.7,63379.0,21.173,6.6,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,TV-MA,30,2.0
2170,Human: The World Within,human,Yes,6/4/21,3800000,312.0,700000,2021,SHOW,['documentation'],['US'],6.8,733.0,3.625,8.7,"Diverse personal stories from around the world reveal how lives, passions and goals are facilitated by the human body's various complex systems.",TV-PG,53,1.0
2172,Love 101,love 101,Yes,4/24/20,3800000,323.0,700000,2020,SHOW,"['drama', 'romance', 'comedy']",['TR'],7.5,14206.0,14.642,8.1,"In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them.",TV-14,46,2.0
2173,Surviving Death,surviving death,Yes,1/6/21,3800000,314.0,700000,2021,SHOW,"['documentation', 'reality']",['US'],6.1,2028.0,0.6,6.8,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",TV-MA,54,1.0
2174,Yakamoz S-245,yakamoz s245,Yes,4/20/22,3800000,334.0,700000,2022,SHOW,"['scifi', 'drama', 'action', 'thriller']",['TR'],6.1,5789.0,13.009,7.2,"After disaster strikes the Earth, a marine biologist on a research mission in a submarine must fight to advance the process into a conspiracy.",TV-MA,48,1.0
2176,Finding Ola,finding ola,Yes,2/3/22,3700000,318.0,700000,2022,SHOW,"['comedy', 'drama']",[],7.5,1572.0,0.6,7.4,"After a life-altering event, Ola Abd ElSabour embarks on a journey of self-discovery and deals with the challenges of a new reality. Hend Sabry stars.",TV-14,53,1.0
2177,The Spy,the spy,Yes,9/6/19,3700000,318.0,700000,2019,SHOW,"['drama', 'history']",['FR'],7.9,41237.0,16.993,7.6,Based on the life of Israeli spy Eli Cohen.,TV-MA,53,1.0
2187,Tribes of Europa,tribes of europa,Yes,2/19/21,3500000,284.0,700000,2021,SHOW,"['scifi', 'drama', 'action', 'fantasy']",['DE'],6.7,12043.0,37.998,7.179,"2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths in an action-packed fight for the future of this new Europa.",TV-MA,47,1.0
2205,The Innocent Man,the innocent man,Yes,12/14/18,3300000,284.0,700000,2018,SHOW,"['documentation', 'crime']",['US'],7.3,5950.0,6.592,7.0,"In a story that gained national attention with John Grisham’s best-selling non-fiction book, The Innocent Man: Murder and Injustice in a Small Town, the six-part documentary series The Innocent Man focuses on two murders that shook the small town of Ada, Oklahoma, in the 1980s — and the controversial chain of events that followed.",TV-MA,47,1.0
